Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,is_ai_related
Hierarchical modeling of availability in distributed systems,S. Hariri; H. Mutlu,"Department of Electrical and Computer Engineering, Syracuse University, Syracuse, NY, USA; Mutek, Inc.",IEEE Transactions on Software Engineering,6 Aug 2002,1995,21,1,50,56,"Distributed computing systems are attractive due to the potential improvement in availability, fault-tolerance, performance, and resource sharing. Modeling and evaluation of such computing systems is an important step in the design process of distributed systems. We present a two-level hierarchical model to analyze the availability of distributed systems. At the higher level (user level), the availability of the tasks (processes) is analyzed using a graph-based approach. At the lower level (component level), detailed Markov models are developed to analyze the component availabilities. These models take into account the hardware/software failures, congestion and collisions in communication links, allocation of resources, and the redundancy level. A systematic approach is developed to apply the two-level hierarchical model to evaluate the availability of the processes and the services provided by a distributed computing environment. This approach is then applied to analyze some of the distributed processes of a real distributed system, Unified Workstation Environment (UWE), that is currently being implemented at AT&T Bell Laboratories.<>",1939-3520,,10.1109/32.341847,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=341847,,Availability;Distributed computing;Resource management;Fault tolerant systems;Time sharing computer systems;Throughput;Reliability engineering;Design engineering;Steady-state;Fault trees,,22,,18,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Mawl: a domain-specific language for form-based services,D. L. Atkins; T. Ball; G. Bruns; K. Cox,"Software Production Research Department, Bell Laboratories, Lucent Technologies, Inc., Naperville, IL, USA; Software Production Research Department, Bell Laboratories, Lucent Technologies, Inc., Naperville, IL, USA; Software Production Research Department, Bell Laboratories, Lucent Technologies, Inc., Naperville, IL, USA; Software Production Research Department, Bell Laboratories, Lucent Technologies, Inc., Naperville, IL, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,3,334,346,"A form-based service is one in which the flow of data between service and user is described by a sequence of query/response interactions, or forms. Mawl is a domain-specific language for programming form-based services in a device-independent manner. We focus on Mawl's form abstraction, which is the means for separating service logic from user interface description, and show how this simple abstraction addresses seven issues in service creation, analysis, and maintenance: compile-time guarantees, implementation flexibility, rapid prototyping, testing and validation, support for multiple devices, composition of services, and usage analysis.",1939-3520,,10.1109/32.798323,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798323,,Domain specific languages;DSL;Web services;Telephony;User interfaces;HTML;Software engineering;Logic testing;Computer languages;Computer Society,,38,49,23,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
An experiment measuring the effects of personal software process (PSP) training,L. Prechelt; B. Unger,"AbaXX Technology AG, Stuttgart, Germany; AbaXX Technology AG, Stuttgart, Germany",IEEE Transactions on Software Engineering,7 Aug 2002,2001,27,5,465,472,"The personal software process is a process improvement methodology aimed at individual software engineers. It claims to improve software quality (in particular defect content), effort estimation capability, and process adaptation and improvement capabilities. We have tested some of these claims in an experiment comparing the performance of participants who had just previously received a PSP course to a different group of participants who had received other technical training instead. Each participant of both groups performed the same task. We found the following positive effects: the PSP group estimated their productivity (though not their effort) more accurately, made fewer trivial mistakes, and their programs performed more careful error-checking; further, the performance variability was smaller in the PSP group in various respects. However, the improvements are smaller than the PSP proponents usually assume, possibly due to the low actual usage of PSP techniques in the PSP group. We conjecture that PSP training alone does not automatically realize the PSP's potential benefits (as seen in some industrial PSP success stories) when programmers are left alone with motivating themselves to actually use the PSP techniques.",1939-3520,,10.1109/32.922716,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=922716,,Software measurement;Software quality;Productivity;Testing;Industrial training;Coordinate measuring machines;Data analysis;Management training;Programming profession;Quality management,,34,,12,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
Experience with the accuracy of software maintenance task effort prediction models,M. Jorgensen,"Oslo Univ., Norway",IEEE Transactions on Software Engineering,6 Aug 2002,1995,21,8,674,681,"The paper reports experience from the development and use of eleven different software maintenance effort prediction models. The models were developed applying regression analysis, neural networks and pattern recognition and the prediction accuracy was measured and compared for each model type. The most accurate predictions were achieved applying models based on multiple regression and on pattern recognition. We suggest the use of prediction models as instruments to support the expert estimates and to analyse the impact of the maintenance variables on the maintenance process and product. We believe that the pattern recognition based models evaluated, i.e., the prediction models based on the Optimized Set Reduction method, show potential for such use.<>",1939-3520,,10.1109/32.403791,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=403791,,Software maintenance;Predictive models;Programming;Pattern recognition;Application software;Neural networks;Regression analysis;Instruments;Optimization methods;Software measurement,,188,,23,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Predicting maintenance performance using object-oriented design complexity metrics,R. K. Bandi; V. K. Vaishnavi; D. E. Turk,"Quantitative Methods and Information Systems Department, Indian Institute of Management, Bangalore, India; Department of Computer Information Systems, Georgia State University, Atlanta, GA, USA; Computer Information Systems Department, Colorado State University, Fort Collins, CO, USA",IEEE Transactions on Software Engineering,22 Jan 2003,2003,29,1,77,87,"The Object-Oriented (OO) paradigm has become increasingly popular in recent years. Researchers agree that, although maintenance may turn out to be easier for OO systems, it is unlikely that the maintenance burden will completely disappear. One approach to controlling software maintenance costs is the utilization of software metrics during the development phase, to help identify potential problem areas. Many new metrics have been proposed for OO systems, but only a few of them have been validated. The purpose of this research is to empirically explore the validation of three existing OO design complexity metrics and, specifically, to assess their ability to predict maintenance time. This research reports the results of validating three metrics, Interaction Level (IL), Interface Size (IS), and Operation Argument Complexity (OAC). A controlled experiment was conducted to investigate the effect of design complexity (as measured by the above metrics) on maintenance time. Each of the three metrics by itself was found to be useful in the experiment in predicting maintenance performance.",1939-3520,,10.1109/TSE.2003.1166590,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1166590,,Software maintenance;Costs;Software metrics;Time measurement;Object oriented programming;Data encapsulation;Software systems;Object oriented modeling;Message passing,,99,,50,IEEE,22 Jan 2003,,,IEEE,IEEE Journals,True
Hierarchical GUI test case generation using automated planning,A. M. Memon; M. E. Pollack; M. L. Soffa,"Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA; Intelligent Systems Program; Department of Computer Science, University of Pittsburgh, Pittsburgh, PA",IEEE Transactions on Software Engineering,7 Aug 2002,2001,27,2,144,155,"The widespread use of GUIs for interacting with software is leading to the construction of more and more complex GUIs. With the growing complexity come challenges in testing the correctness of a GUI and its underlying software. We present a new technique to automatically generate test cases for GUIs that exploits planning, a well-developed and used technique in artificial intelligence. Given a set of operators, an initial state, and a goal state, a planner produces a sequence of the operators that will transform the initial state to the goal state. Our test case generation technique enables efficient application of planning by first creating a hierarchical model of a GUI based on its structure. The GUI model consists of hierarchical planning operators representing the possible events in the GUI. The test designer defines the preconditions and effects of the hierarchical operators, which are input into a plan-generation system. The test designer also creates scenarios that represent typical initial and goal states for a GUI user. The planner then generates plans representing sequences of GUI interactions that a user might employ to reach the goal state from the initial state. We implemented our test case generation system, called Planning Assisted Tester for Graphical User Interface Systems (PATHS) and experimentally evaluated its practicality and effectiveness. We describe a prototype implementation of PATHS and report on the results of controlled experiments to generate test cases for Microsoft's WordPad.",1939-3520,,10.1109/32.908959,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=908959,,Graphical user interfaces;Automatic testing;Computer aided software engineering;Software testing;System testing;Artificial intelligence;Prototypes;Software measurement;Path planning;Automatic generation control,,173,18,30,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
Two controlled experiments assessing the usefulness of design pattern documentation in program maintenance,L. Prechelt; B. Unger-Lamprecht; M. Philippsen; W. F. Tichy,"AbaXX Technology AG, Stuttgart, Germany; SD and M, Germany; Fakultät für Informatik, Universität Karlsruhe, Karlsruhe, Germany; Fakultät für Informatik, Universität Karlsruhe, Karlsruhe, Germany",IEEE Transactions on Software Engineering,7 Aug 2002,2002,28,6,595,606,Using design patterns is claimed to improve programmer productivity and software quality. Such improvements may manifest both at construction time (in faster and better program design) and at maintenance time (in faster and more accurate program comprehension). The paper focuses on the maintenance context and reports on experimental tests of the following question: does it help the maintainer if the design patterns in the program code are documented explicitly (using source code comments) compared to a well-commented program without explicit reference to design patterns? Subjects performed maintenance tasks on two programs ranging from 360 to 560 LOC including comments. The experiments tested whether pattern comment lines (PCL) help during maintenance if patterns are relevant and sufficient program comments are already present. This question is a challenge for the experimental methodology: A setup leading to relevant results is quite difficult to find. We discuss these issues in detail and suggest a general approach to such situations. A conservative analysis of the results supports the hypothesis that pattern-relevant maintenance tasks were completed faster or with fewer errors if redundant design pattern information was provided. The article provides the first controlled experiment results on design pattern usage and it presents a solution approach to an important class of experiment design problems for experiments regarding documentation.,1939-3520,,10.1109/TSE.2002.1010061,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1010061,,Documentation;Computer Society;Programming profession;Testing;Productivity;Software design;Software tools;Software quality;Lab-on-a-chip;Java,,104,,31,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
Partition testing vs. random testing: the influence of uncertainty,W. J. Gutjahr,"Department of Statistics, Operations Research and Computer Science, University of Technology, Vienna, Vienna, Austria",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,5,661,674,"This paper compares partition testing and random testing on the assumption that program failure rates are not known with certainty before testing and are, therefore, modeled by random variables. It is shown that under uncertainty, partition testing compares more favorably to random testing than suggested by prior investigations concerning the deterministic case: the restriction to failure rates that are known with certainty systematically favors random testing. In particular, we generalize a result by Weyuker and Jeng (1991) stating equal fault detection probabilities for partition testing and random testing in the case where the failure rates in the subdomains defined by the partition are equal. It turns out that for independent random failure rates with equal expectation, the case above is a boundary case (the worst case for partition testing), and the fault detection probability of partition testing can be up to k times higher than that of random testing, where k is the number of subdomains. Also in a related model for dependent failure rates, partition testing turns out to be consistently better than random testing. The dominance can also be verified for the expected (weighted) number of detected faults as an alternative comparison criterion.",1939-3520,,10.1109/32.815325,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=815325,,Uncertainty;Fault detection;Software testing;Acoustic testing;System testing;Random variables;Genetic mutations;Partitioning algorithms;Pain,,90,,27,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Domain-specific languages: from design to implementation application to video device drivers generation,S. A. Thibault; R. Marlet; C. Consel,"IRISA/INRIA-Université de Rennes 1, Rennes, France; IRISA/INRIA-Université de Rennes 1, Rennes, France; IRISA/INRIA-Université de Rennes 1, Rennes, France",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,3,363,377,"Domain-specific languages (DSL) have many potential advantages in terms of software engineering, ranging from increased productivity to the application of formal methods. Although they have been used in practice for decades, there has been little study of methodology or implementation tools for the DSL approach. We present our DSL approach and its application to a realistic domain: the generation of video display device drivers. The article focuses on the validation of our proposed framework for domain-specific languages, from design to implementation. The framework leads to a flexible design and structure, and provides automatic generation of efficient implementations of DSL programs. Additionally, we describe an example of a complete DSL for video display adaptors and the benefits of the DSL approach for this application. This demonstrates some of the generally claimed benefits of using DSLs: increased productivity, higher-level abstraction, and easier verification. This DSL has been fully implemented with our approach and is available. Compose project URL: http://www.irisa.fr/compose/gal.",1939-3520,,10.1109/32.798325,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798325,,Domain specific languages;DSL;Application software;Productivity;Software engineering;Displays;Graphics;Uniform resource locators;Telephony;Switching systems,,44,1,,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
A Bayesian analysis of the logarithmic-Poisson execution time model based on expert opinion and failure data,S. Campodonico; N. D. Singpurwalla,"Res. and Test Dept., Assoc. of American Railroads, Washington, DC, USA; Departments of Operations Research and of Statistics, George Washington University, DC, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1994,20,9,677,683,"We propose a Bayesian approach for predicting the number of failures in a piece of software, using the logarithmic-Poisson model, a nonhomogeneous Poisson process (NHPP) commonly used for describing software failures. A similar approach can be applied to other forms of the NHPP. The key feature of the approach is that now we are able to use, in a formal manner, expert knowledge on software testing, as for example, published information on the empirical experiences of other researchers. This is accomplished by treating such information as expert opinion in the construction of a likelihood function which leads us to a joint distribution. The procedure is computationally intensive, but for the case of the logarithmic-Poisson model has been codified for use on a personal computer. We illustrate the working of the approach via some real live data on software testing. The aim is not to propose another model for software reliability assessment. Rather, we present a methodology that can be invoked with existing software reliability models.<>",1939-3520,,10.1109/32.317426,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=317426,,Bayesian methods;Failure analysis;Software reliability;Predictive models;Software testing;Statistics;Microcomputers;Stochastic processes;Relays,,28,,18,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Estimation and prediction metrics for adaptive maintenance effort of object-oriented systems,F. Fioravanti; P. Nesi,"Department of Systems and Informatics, University of Florence, Florence, Italy; Department of Systems and Informatics, University of Florence, Florence, Italy",IEEE Transactions on Software Engineering,7 Aug 2002,2001,27,12,1062,1084,"Many software systems built in recent years have been developed using object-oriented technology and, in some cases, they already need adaptive maintenance in order to satisfy market and customer needs. In most cases, the estimation and prediction of maintenance effort is performed with difficulty due to the lack of metrics and suitable models. In this paper, a model and metrics for estimation/prediction of adaptive maintenance effort are presented and compared with some other solutions taken from the literature. The model proposed can be used as a general approach for adopting well-known metrics (typically used for the estimation of development effort) for the estimation/prediction of adaptive maintenance effort. The model and metrics proposed have been validated against real data by using multilinear regression analysis. The validation has shown that several well-known metrics can be profitably employed for the estimation/prediction of maintenance effort.",1939-3520,,10.1109/32.988708,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=988708,,Costs;Object oriented modeling;Predictive models;Control systems;Software performance;Performance evaluation;Software systems;Regression analysis;Software maintenance;Tree data structures,,84,3,44,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
A highly available local leader election service,C. Fetzer; F. Cristian,"AT and T Research Laboratories, Florham Park, NJ, USA; Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,5,603,618,"We define the highly available local leader election problem (G. LeLann, 1977), a generalization of the leader election problem for partitionable systems. We propose a protocol that solves the problem efficiently and give some performance measurements of our implementation. The local leader election service has been proven useful in the design and implementation of several fail-aware services for partitionable systems.",1939-3520,,10.1109/32.815321,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=815321,,Nominations and elections;Protocols;Broadcasting;Measurement;Bridges;Local area networks;Availability;Clocks;Synchronization,,35,2,24,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Identification of dynamic comprehension processes during large scale maintenance,A. Von Mayrhauser; A. M. Vans,"The Department of Computer Science, Colorado State University, Fort Collins, CO, USA; The Department of Computer Science, Colorado State University, Fort Collins, CO, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1996,22,6,424,437,We present results of observing professional maintenance engineers working with industrial code at actual maintenance tasks. Protocol analysis is used to explore how code understanding might differ for small versus large scale code. The experiment confirms that cognition processes work at all levels of abstraction simultaneously as programmers build a mental model of the code. Analysis focused on dynamic properties and processes of code understanding. Cognition processes emerged at three levels of aggregation representing lower and higher level strategies of understanding. They show differences in what triggers them and how they achieve their goals. Results are useful for defining information which maintenance engineers need for their work and for documentation and development standards.,1939-3520,,10.1109/32.508315,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508315,,Large-scale systems;Cognition;Protocols;Software maintenance;Programming profession;Switches;Maintenance engineering;Cognitive science;Documentation;Standards development,,81,5,34,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Formal development and verification of a distributed railway control system,A. E. Haxthausen; J. Peleska,"Deptartment of Information Technology, Technical University of Denmark, Kongens Lyngby, Denmark; FB-3 Informatik, Universität Bremen, Bremen, Germany",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,8,687,701,"The authors introduce the concept for a distributed railway control system and present the specification and verification of the main algorithm used for safe distributed control. Our design and verification approach is based on the RAISE method, starting with highly abstract algebraic specifications which are transformed into directly implementable distributed control processes by applying a series of refinement and verification steps. Concrete safety requirements are derived from an abstract version that can be easily validated with respect to soundness and completeness. Complexity is further reduced by separating the system model into a domain model and a controller model. The domain model describes the physical system in absence of control and the controller model introduces the safety-related control mechanisms as a separate entity monitoring observables of the physical system to decide whether it is safe for a train to move or for a point to be switched.",1939-3520,,10.1109/32.879808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879808,,Rail transportation;Distributed control;Control systems;Communication system control;Switches;Railway safety;Centralized control;Formal specifications;Mobile communication;Concrete,,82,,12,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Incremental design of a power transformer station controller using a controller synthesis methodology,H. Marchand; M. Samaan,"IRISA/INRIA, Rennes, France; EDF, Uniteé National Technique Système, Saint-Denis, France",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,8,729,741,"The authors describe the incremental specification of a power transformer station controller using a controller synthesis methodology. They specify the main requirements as simple properties, named control objectives, that the controlled plant has to satisfy. Then, using algebraic techniques, the controller is automatically derived from this set of control objectives. In our case, the plant is specified at a high level, using the data-flow synchronous SIGNAL language, and then by its logical abstraction, called polynomial dynamical system. The control objectives are specified as invariance, reachability, ...properties, as well as partial order relations to be checked by the plant. The control objectives equations are synthesized using algebraic transformations.",1939-3520,,10.1109/32.879811,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879811,,Power transformers;Automatic control;Signal synthesis;Polynomials;Optimal control;Equations;Control system synthesis;Data structures;Boolean functions;Circuit faults,,30,,20,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Time domain analysis of non-Markovian stochastic Petri nets with PRI transitions,A. Horvath; M. Telek,"Department of Telecommunications, Budapest University슠of슠Technology슠and슠Economics, Hungary; Department of Telecommunications, Budapest University슠of슠Technology슠and슠Economics, Hungary",IEEE Transactions on Software Engineering,10 Dec 2002,2002,28,10,933,943,"The time domain analysis of non-Markovian stochastic Petri nets with pre-emptive repeat identical (PRI) type transitions is considered in this paper. The set of ""time domain"" equations describing the evolution of the marking process is provided. The relation of the time domain and formerly available transform domain description is discussed. Based on the time domain description of the process, a simple numerical procedure is provided to analyze the transient behavior. Two examples are calculated to illustrate the proposed numerical method.",1939-3520,,10.1109/TSE.2002.1041050,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041050,,Time domain analysis;Stochastic processes;Petri nets;Transient analysis;Terminology;Steady-state;Laplace equations;Transforms;Queueing analysis,,3,,18,IEEE,10 Dec 2002,,,IEEE,IEEE Journals,True
Model-checking algorithms for continuous-time Markov chains,C. Baier; B. Haverkort; H. Hermanns; J. . -P. Katoen,"Institut für Informatik I, University of Bonn, Bonn, Germany; Department of Computer Science, University of Twente, Enschede, Netherlands; Department of Computer Science, University of Twente, Enschede, Netherlands; Department of Computer Science, University of Twente, Enschede, Netherlands",IEEE Transactions on Software Engineering,20 Jun 2003,2003,29,6,524,541,"Continuous-time Markov chains (CTMCs) have been widely used to determine system performance and dependability characteristics. Their analysis most often concerns the computation of steady-state and transient-state probabilities. This paper introduces a branching temporal logic for expressing real-time probabilistic properties on CTMCs and presents approximate model checking algorithms for this logic. The logic, an extension of the continuous stochastic logic CSL of Aziz et al. (1995, 2000), contains a time-bounded until operator to express probabilistic timing properties over paths as well as an operator to express steady-state probabilities. We show that the model checking problem for this logic reduces to a system of linear equations (for unbounded until and the steady-state operator) and a Volterra integral equation system (for time-bounded until). We then show that the problem of model-checking time-bounded until properties can be reduced to the problem of computing transient state probabilities for CTMCs. This allows the verification of probabilistic timing properties by efficient techniques for transient analysis for CTMCs such as uniformization. Finally, we show that a variant of lumping equivalence (bisimulation), a well-known notion for aggregating CTMCs, preserves the validity of all formulas in the logic.",1939-3520,,10.1109/TSE.2003.1205180,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1205180,,Steady-state;Stochastic processes;Probabilistic logic;Transient analysis;System performance;Timing;Integral equations;Performance analysis;Throughput;Production systems,,526,,72,IEEE,20 Jun 2003,,,IEEE,IEEE Journals,True
KLAIM: a kernel language for agents interaction and mobility,R. De Nicola; G. L. Ferrari; R. Pugliese,"Dipartimento di Sistemie Informatica, Università di Fienze, Florence, Italy; Dipartimento di Informatica, Università di Pisa, Pisa, Italy; Dipartimento di Sistemie Informatica, Università di Fienze, Florence, Italy",IEEE Transactions on Software Engineering,6 Aug 2002,1998,24,5,315,330,"We investigate the issue of designing a kernel programming language for mobile computing and describe KLAIM, a language that supports a programming paradigm where processes, like data, can be moved from one computing environment to another. The language consists of a core Linda with multiple tuple spaces and of a set of operators for building processes. KLAIM naturally supports programming with explicit localities. Localities are first-class data (they can be manipulated like any other data), but the language provides coordination mechanisms to control the interaction protocols among located processes. The formal operational semantics is useful for discussing the design of the language and provides guidelines for implementations. KLAIM is equipped with a type system that statically checks access right violations of mobile agents. Types are used to describe the intentions (read, write, execute, etc.) of processes in relation to the various localities. The type system is used to determine the operations that processes want to perform at each locality, and to check whether they comply with the declared intentions and whether they have the necessary rights to perform the intended operations at the specific localities. Via a series of examples, we show that many mobile code programming paradigms can be naturally implemented in our kernel language. We also present a prototype implementation of KLAIM in Java.",1939-3520,,10.1109/32.685256,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=685256,,Kernel;Computer languages;Mobile computing;Buildings;Access protocols;Guidelines;Permission;Mobile agents;Prototypes;Java,,370,1,41,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Specifying timing constraints and composite events: an application in the design of electronic brokerages,A. K. Mok; P. Konana; Guangtian Liu; Chan-Gun Lee; Honguk Woo,"Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA; Department of Management Science and Information Systems, Graduate School of Business, University of Texas, Austin, Austin, TX, USA; SBC Technology Resources, 슠Inc., Austin, TX, USA; Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA; Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA",IEEE Transactions on Software Engineering,10 Jan 2005,2004,30,12,841,858,"Increasingly, business applications need to capture consumers' complex preferences interactively and monitor those preferences by translating them into event-condition-action (ECA) rules and syntactically correct processing specification. An expressive event model to specify primitive and composite events that may involve timing constraints among events is critical to such applications. Relying on the work done in active databases and real-time systems, this research proposes a new composite event model based on real-time logic (RTL). The proposed event model does not require fixed event consumption policies and allows the users to represent the exact correlation of event instances in defining composite events. It also supports a wide-range of domain-specific temporal events and constraints, such as future events, time-constrained events, and relative events. This event model is validated within an electronic brokerage architecture that unbundles the required functionalities into three separable components - business rule manager, ECA rule manager, and event monitor - with well-defined interfaces. A proof-of-concept prototype was implemented in the Java programming language to demonstrate the expressiveness of the event model and the feasibility of the architecture. The performance of the composite event monitor was evaluated by varying the number of rules, event arrival rates, and type of composite events.",1939-3520,,10.1109/TSE.2004.105,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1377184,Index Terms- Active databases;real-time databases;electronic brokerages;event specification;timing constraints.,Timing;Event detection;Databases;Monitoring;Real time systems;Logic design;Prototypes;Java;Computer languages;Process control,,12,,43,IEEE,10 Jan 2005,,,IEEE,IEEE Journals,True
A test generation strategy for pairwise testing,Kuo-Chung Tai; Yu Lei,"Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Department of Computer Science, North Carolina State University, Raleigh, NC, USA",IEEE Transactions on Software Engineering,7 Aug 2002,2002,28,1,109,111,"Pairwise testing is a specification-based testing criterion which requires that for each pair of input parameters of a system, every combination of valid values of these two parameters be covered by at least one test case. The authors propose a novel test generation strategy for pairwise testing.",1939-3520,,10.1109/32.979992,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=979992,,Testing,,214,2,5,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
Realism in assessment of effort estimation uncertainty: it matters how you ask,M. Jorgensen,"Simula Research Laboratory, Lysaker, Norway",IEEE Transactions on Software Engineering,22 Mar 2004,2004,30,4,209,217,"Traditionally, software professionals are requested to provide minimum-maximum intervals to indicate the uncertainty of their effort estimates. We claim that the traditional request is not optimal and leads to overoptimistic views about the level of estimation uncertainty. Instead, we propose that it is better to frame the request for uncertainty assessment: ""How likely is it that the actual effort will be more than/less than X?"" Our claim is based on the results of a previously reported-experiment and field studies in two companies. The two software companies were instructed to apply the traditional and our alternative framing on random samples of their projects. In total, we collected information about 47 projects applying the traditional-framing and 23 projects applying the alternative framing.",1939-3520,,10.1109/TSE.2004.1274041,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1274041,,Uncertainty;Amplitude shift keying;Project management;Risk management;Psychology;Contingency management;Costs;Humans,,51,,16,IEEE,22 Mar 2004,,,IEEE,IEEE Journals,True
Teapot: a domain-specific language for writing cache coherence protocols,S. Chandra; B. Richards; J. R. Larus,"Bell Laboratories, Lucent Technologies, Inc., Naperville, IL, USA; Department of Computer Science, Vassar College, Poughkeepsie, NY, USA; Microsoft Research, Redmond, WA, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,3,317,333,"In this paper, we describe Teapot, a domain-specific language for writing cache coherence protocols. Cache coherence is of concern when parallel and distributed systems make local replicas of shared data to improve scalability and performance. In both distributed shared memory systems and distributed file systems, a coherence protocol maintains agreement among the replicated copies as the underlying data are modified by programs running on the system. Cache coherence protocols are notoriously difficult to implement, debug, and maintain. Moreover, protocols are not off-the-shelf, reusable components, because their details depend on the requirements of the system under consideration. The complexity of engineering coherence protocols can discourage users from experimenting with new, potentially more efficient protocols. We have designed and implemented Teapot, a domain-specific language that attempts to address this complexity. Teapot's language constructs, such as a state-centric control structure and continuations, are better suited to expressing protocol code than those of a typical systems programming language. Teapot also facilitates automatic verification of protocols, so hard to find protocol bugs, such as deadlocks, can be detected and fixed before encountering them on an actual execution. We describe the design rationale of Teapot, present an empirical evaluation of the language using two case studies, and relate the lessons that we learned in building a domain-specific language for systems programming.",1939-3520,,10.1109/32.798322,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798322,,Domain specific languages;Writing;Protocols;Scalability;File systems;Maintenance engineering;Automatic control;Control systems;Computer languages;Computer bugs,,22,4,29,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
On the expected number of failures detected by subdomain testing and random testing,T. Y. Chen; Y. T. Yu,"Department of Computer Science, University of Melbourne, Parkville, Australia; Department of Computer Science, University of Melbourne, Parkville, Australia",IEEE Transactions on Software Engineering,6 Aug 2002,1996,22,2,109,119,"We investigate the efficacy of subdomain testing and random testing using the expected number of failures detected (the E-measure) as a measure of effectiveness. Simple as it is, the E-measure does provide a great deal of useful information about the fault detecting capability of testing strategies. With the E-measure, we obtain new characterizations of subdomain testing, including several new conditions that determine whether subdomain testing is more or less effective than random testing. Previously, the efficacy of subdomain testing strategies has been analyzed using the probability of detecting at least one failure (the P-measure) for the special case of disjoint subdomains only. On the contrary, our analysis makes use of the E-measure and considers also the general case in which subdomains may or may not overlap. Furthermore, we discover important relations between the two different measures. From these relations, we also derive corresponding characterizations of subdomain testing in terms of the P-measure.",1939-3520,,10.1109/32.485221,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485221,,Software testing;System testing;Failure analysis;Computer science;Electronic mail;Fault detection,,97,,18,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
